"","Award.Year","Winner.Id","Full.Name","Field","Prize","Prize.Amount","Prize.Amount.Adjusted","Prize.Share","Motivation","Date.Awarded","DOB","age"
"790","2002","762","Jimmy Carter","Peace","The Nobel Peace Prize",10000000,12252888,"1","for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development","2002-10-11","1924-10-01",0
"791","2002","753","Raymond Davis Jr.","Physics","The Nobel Prize in Physics",10000000,12252888,"1/4","for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos","2002-10-08","1914-10-14",0
"792","2002","754","Masatoshi Koshiba","Physics","The Nobel Prize in Physics",10000000,12252888,"1/4","for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos","2002-10-08","1926-09-19",0
"793","2002","755","Riccardo Giacconi","Physics","The Nobel Prize in Physics",10000000,12252888,"1/2","for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources","2002-10-08","1931-10-06",0
"794","2002","750","Sydney Brenner","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,12252888,"1/3","for their discoveries concerning genetic regulation of organ development and programmed cell death'","2002-10-07","1927-01-13",0
"795","2002","751","H. Robert Horvitz","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,12252888,"1/3","for their discoveries concerning genetic regulation of organ development and programmed cell death'","2002-10-07","1947-05-08",0
"796","2002","752","John E. Sulston","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,12252888,"1/3","for their discoveries concerning genetic regulation of organ development and programmed cell death'","2002-10-07","1942-03-27",0
"797","2003","769","Peter Agre","Chemistry","The Nobel Prize in Chemistry",10000000,12021411,"1/2","for the discovery of water channels","2003-10-08","1949-01-30",0
"798","2003","770","Roderick MacKinnon","Chemistry","The Nobel Prize in Chemistry",10000000,12021411,"1/2","for structural and mechanistic studies of ion channels","2003-10-08","1956-02-19",0
"799","2003","771","Robert F. Engle III","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,12021411,"1/2","for methods of analyzing economic time series with time-varying volatility (ARCH)","2003-10-08","1942-11-10",0
"800","2003","772","Clive W.J. Granger","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,12021411,"1/2","for methods of analyzing economic time series with common trends (cointegration)","2003-10-08","1934-09-04",0
"801","2003","763","J. M. Coetzee","Literature","The Nobel Prize in Literature",10000000,12021411,"1","who in innumerable guises portrays the surprising involvement of the outsider","2003-10-02","1940-02-09",0
"802","2003","773","Shirin Ebadi","Peace","The Nobel Peace Prize",10000000,12021411,"1","for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children","2003-10-10","1947-06-21",0
"803","2003","766","Alexei Abrikosov","Physics","The Nobel Prize in Physics",10000000,12021411,"1/3","for pioneering contributions to the theory of superconductors and superfluids","2003-10-07","1928-06-25",0
"804","2003","767","Vitaly L. Ginzburg","Physics","The Nobel Prize in Physics",10000000,12021411,"1/3","for pioneering contributions to the theory of superconductors and superfluids","2003-10-07","1916-10-04",0
"805","2003","768","Anthony J. Leggett","Physics","The Nobel Prize in Physics",10000000,12021411,"1/3","for pioneering contributions to the theory of superconductors and superfluids","2003-10-07","1938-03-26",0
"806","2003","764","Paul C. Lauterbur","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,12021411,"1/2","for their discoveries concerning magnetic resonance imaging","2003-10-06","1929-05-06",0
"807","2003","765","Sir Peter Mansfield","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,12021411,"1/2","for their discoveries concerning magnetic resonance imaging","2003-10-06","1933-10-09",0
"808","2004","779","Aaron Ciechanover","Chemistry","The Nobel Prize in Chemistry",10000000,11976161,"1/3","for the discovery of ubiquitin-mediated protein degradation","2004-10-06","1947-10-01",0
"809","2004","780","Avram Hershko","Chemistry","The Nobel Prize in Chemistry",10000000,11976161,"1/3","for the discovery of ubiquitin-mediated protein degradation","2004-10-06","1937-12-31",0
"810","2004","781","Irwin Rose","Chemistry","The Nobel Prize in Chemistry",10000000,11976161,"1/3","for the discovery of ubiquitin-mediated protein degradation","2004-10-06","1926-07-16",0
"811","2004","786","Finn E. Kydland","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11976161,"1/2","for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles","2004-10-11","1943-12-01",0
"812","2004","787","Edward C. Prescott","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11976161,"1/2","for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles","2004-10-11","1940-12-26",0
"813","2004","782","Elfriede Jelinek","Literature","The Nobel Prize in Literature",10000000,11976161,"1","for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power","2004-10-07","1946-10-20",0
"814","2004","783","Wangari Maathai","Peace","The Nobel Peace Prize",10000000,11976161,"1","for her contribution to sustainable development, democracy and peace","2004-10-08","1940-04-01",0
"815","2004","776","David J. Gross","Physics","The Nobel Prize in Physics",10000000,11976161,"1/3","for the discovery of asymptotic freedom in the theory of the strong interaction","2004-10-05","1941-02-19",0
"816","2004","777","H. David Politzer","Physics","The Nobel Prize in Physics",10000000,11976161,"1/3","for the discovery of asymptotic freedom in the theory of the strong interaction","2004-10-05","1949-08-31",0
"817","2004","778","Frank Wilczek","Physics","The Nobel Prize in Physics",10000000,11976161,"1/3","for the discovery of asymptotic freedom in the theory of the strong interaction","2004-10-05","1951-05-15",0
"818","2004","774","Richard Axel","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11976161,"1/2","for their discoveries of odorant receptors and the organization of the olfactory system","2004-10-04","1946-07-02",0
"819","2004","775","Linda B. Buck","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11976161,"1/2","for their discoveries of odorant receptors and the organization of the olfactory system","2004-10-04","1947-01-29",0
"820","2005","794","Yves Chauvin","Chemistry","The Nobel Prize in Chemistry",10000000,11923798,"1/3","for the development of the metathesis method in organic synthesis","2005-10-05","1930-10-10",0
"821","2005","795","Robert H. Grubbs","Chemistry","The Nobel Prize in Chemistry",10000000,11923798,"1/3","for the development of the metathesis method in organic synthesis","2005-10-05","1942-02-27",0
"822","2005","796","Richard R. Schrock","Chemistry","The Nobel Prize in Chemistry",10000000,11923798,"1/3","for the development of the metathesis method in organic synthesis","2005-10-05","1945-01-04",0
"823","2005","799","Robert J. Aumann","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11923798,"1/2","for having enhanced our understanding of conflict and cooperation through game-theory analysis","2005-10-10","1930-06-08",0
"824","2005","800","Thomas C. Schelling","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11923798,"1/2","for having enhanced our understanding of conflict and cooperation through game-theory analysis","2005-10-10","1921-04-14",0
"825","2005","801","Harold Pinter","Literature","The Nobel Prize in Literature",10000000,11923798,"1","who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms","2005-10-13","1930-10-10",0
"826","2005","797",NA,"Peace","The Nobel Peace Prize",10000000,11923798,"1/2","for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way","2005-10-07",NA,0
"827","2005","798","Mohamed ElBaradei","Peace","The Nobel Peace Prize",10000000,11923798,"1/2","for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way","2005-10-07","1942-06-17",0
"828","2005","791","Roy J. Glauber","Physics","The Nobel Prize in Physics",10000000,11923798,"1/2","for his contribution to the quantum theory of optical coherence","2005-10-04","1925-09-01",0
"829","2005","792","John L. Hall","Physics","The Nobel Prize in Physics",10000000,11923798,"1/4","for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique","2005-10-04","1934-08-21",0
"830","2005","793","Theodor W. Hänsch","Physics","The Nobel Prize in Physics",10000000,11923798,"1/4","for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique","2005-10-04","1941-10-30",0
"831","2005","789","Barry J. Marshall","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11923798,"1/2","for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease","2005-10-03","1951-09-30",0
"832","2005","790","J. Robin Warren","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11923798,"1/2","for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease","2005-10-03","1937-06-11",0
"833","2006","806","Roger D. Kornberg","Chemistry","The Nobel Prize in Chemistry",10000000,11762169,"1","for his studies of the molecular basis of eukaryotic transcription","2006-10-04","1947-04-24",0
"834","2006","807","Edmund S. Phelps","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11762169,"1","for his analysis of intertemporal tradeoffs in macroeconomic policy","2006-10-09","1933-07-26",0
"835","2006","808","Orhan Pamuk","Literature","The Nobel Prize in Literature",10000000,11762169,"1","who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures","2006-10-12","1952-06-07",0
"836","2006","809","Muhammad Yunus","Peace","The Nobel Peace Prize",10000000,11762169,"1/2","for their efforts to create economic and social development from below","2006-10-13","1940-06-28",0
"837","2006","810",NA,"Peace","The Nobel Peace Prize",10000000,11762169,"1/2","for their efforts to create economic and social development from below","2006-10-13",NA,0
"838","2006","804","John C. Mather","Physics","The Nobel Prize in Physics",10000000,11762169,"1/2","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation","2006-10-03","1946-08-07",0
"839","2006","805","George F. Smoot","Physics","The Nobel Prize in Physics",10000000,11762169,"1/2","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation","2006-10-03","1945-02-20",0
"840","2006","802","Andrew Z. Fire","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11762169,"1/2","for their discovery of RNA interference - gene silencing by double-stranded RNA","2006-10-02","1959-04-27",0
"841","2006","803","Craig C. Mello","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11762169,"1/2","for their discovery of RNA interference - gene silencing by double-stranded RNA","2006-10-02","1960-10-19",0
"842","2007","816","Gerhard Ertl","Chemistry","The Nobel Prize in Chemistry",10000000,11506932,"1","for his studies of chemical processes on solid surfaces","2007-10-10","1936-10-10",0
"843","2007","820","Leonid Hurwicz","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11506932,"1/3","for having laid the foundations of mechanism design theory","2007-10-15","1917-08-21",0
"844","2007","821","Eric S. Maskin","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11506932,"1/3","for having laid the foundations of mechanism design theory","2007-10-15","1950-12-12",0
"845","2007","822","Roger B. Myerson","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11506932,"1/3","for having laid the foundations of mechanism design theory","2007-10-15","1951-03-29",0
"846","2007","817","Doris Lessing","Literature","The Nobel Prize in Literature",10000000,11506932,"1","that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny","2007-10-11","1919-10-22",0
"847","2007","818",NA,"Peace","The Nobel Peace Prize",10000000,11506932,"1/2","for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change","2007-10-12",NA,0
"848","2007","819","Al Gore","Peace","The Nobel Peace Prize",10000000,11506932,"1/2","for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change","2007-10-12","1948-03-31",0
"849","2007","814","Albert Fert","Physics","The Nobel Prize in Physics",10000000,11506932,"1/2","for the discovery of Giant Magnetoresistance","2007-10-09","1938-03-07",0
"850","2007","815","Peter Grünberg","Physics","The Nobel Prize in Physics",10000000,11506932,"1/2","for the discovery of Giant Magnetoresistance","2007-10-09","1939-05-18",0
"851","2007","811","Mario R. Capecchi","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11506932,"1/3","for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells","2007-10-08","1937-10-06",0
"852","2007","812","Sir Martin J. Evans","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11506932,"1/3","for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells","2007-10-08","1941-01-01",0
"853","2007","813","Oliver Smithies","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11506932,"1/3","for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells","2007-10-08","1925-06-23",0
"854","2008","829","Osamu Shimomura","Chemistry","The Nobel Prize in Chemistry",10000000,11124709,"1/3","for the discovery and development of the green fluorescent protein, GFP","2008-10-08","1928-08-27",0
"855","2008","830","Martin Chalfie","Chemistry","The Nobel Prize in Chemistry",10000000,11124709,"1/3","for the discovery and development of the green fluorescent protein, GFP","2008-10-08","1947-01-15",0
"856","2008","831","Roger Y. Tsien","Chemistry","The Nobel Prize in Chemistry",10000000,11124709,"1/3","for the discovery and development of the green fluorescent protein, GFP","2008-10-08","1952-02-01",0
"857","2008","834","Paul Krugman","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11124709,"1","for his analysis of trade patterns and location of economic activity","2008-10-13","1953-02-28",0
"858","2008","832","Jean-Marie Gustave Le Clézio","Literature","The Nobel Prize in Literature",10000000,11124709,"1","author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization","2008-10-09","1940-04-13",0
"859","2008","833","Martti Ahtisaari","Peace","The Nobel Peace Prize",10000000,11124709,"1","for his important efforts, on several continents and over more than three decades, to resolve international conflicts","2008-10-10","1937-06-23",0
"860","2008","826","Yoichiro Nambu","Physics","The Nobel Prize in Physics",10000000,11124709,"1/2","for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics","2008-10-07","1921-01-18",0
"861","2008","827","Makoto Kobayashi","Physics","The Nobel Prize in Physics",10000000,11124709,"1/4","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature","2008-10-07","1944-04-07",0
"862","2008","828","Toshihide Maskawa","Physics","The Nobel Prize in Physics",10000000,11124709,"1/4","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature","2008-10-07","1940-02-07",0
"863","2008","823","Harald zur Hausen","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11124709,"1/2","for his discovery of human papilloma viruses causing cervical cancer","2008-10-06","1936-03-11",0
"864","2008","824","Françoise Barré-Sinoussi","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11124709,"1/4","for their discovery of human immunodeficiency virus","2008-10-06","1947-07-30",0
"865","2008","825","Luc Montagnier","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11124709,"1/4","for their discovery of human immunodeficiency virus","2008-10-06","1932-08-18",0
"866","2009","841","Venkatraman Ramakrishnan","Chemistry","The Nobel Prize in Chemistry",10000000,11157218,"1/3","for studies of the structure and function of the ribosome","2009-10-07","1952-00-00",0
"867","2009","842","Thomas A. Steitz","Chemistry","The Nobel Prize in Chemistry",10000000,11157218,"1/3","for studies of the structure and function of the ribosome","2009-10-07","1940-08-23",0
"868","2009","843","Ada E. Yonath","Chemistry","The Nobel Prize in Chemistry",10000000,11157218,"1/3","for studies of the structure and function of the ribosome","2009-10-07","1939-06-22",0
"869","2009","846","Elinor Ostrom","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11157218,"1/2","for her analysis of economic governance, especially the commons","2009-10-12","1933-08-07",0
"870","2009","847","Oliver E. Williamson","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11157218,"1/2","for his analysis of economic governance, especially the boundaries of the firm","2009-10-12","1932-09-27",0
"871","2009","844","Herta Müller","Literature","The Nobel Prize in Literature",10000000,11157218,"1","who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed","2009-10-08","1953-08-17",0
"872","2009","845","Barack H. Obama","Peace","The Nobel Peace Prize",10000000,11157218,"1","for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples","2009-10-09","1961-08-04",0
"873","2009","838","Charles K. Kao","Physics","The Nobel Prize in Physics",10000000,11157218,"1/2","for groundbreaking achievements concerning the transmission of light in fibers for optical communication","2009-10-06","1933-11-04",0
"874","2009","839","Willard S. Boyle","Physics","The Nobel Prize in Physics",10000000,11157218,"1/4","for the invention of an imaging semiconductor circuit - the CCD sensor","2009-10-06","1924-08-19",0
"875","2009","840","George E. Smith","Physics","The Nobel Prize in Physics",10000000,11157218,"1/4","for the invention of an imaging semiconductor circuit - the CCD sensor","2009-10-06","1930-05-10",0
"876","2009","835","Elizabeth H. Blackburn","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11157218,"1/3","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase",NA,"1948-11-26",0
"877","2009","836","Carol W. Greider","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11157218,"1/3","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase",NA,"1961-04-15",0
"878","2009","837","Jack W. Szostak","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11157218,"1/3","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase",NA,"1952-11-09",0
"879","2010","851","Richard F. Heck","Chemistry","The Nobel Prize in Chemistry",10000000,11015580,"1/3","for palladium-catalyzed cross couplings in organic synthesis","2010-10-06","1931-08-15",0
"880","2010","852","Ei-ichi Negishi","Chemistry","The Nobel Prize in Chemistry",10000000,11015580,"1/3","for palladium-catalyzed cross couplings in organic synthesis","2010-10-06","1935-07-14",0
"881","2010","853","Akira Suzuki","Chemistry","The Nobel Prize in Chemistry",10000000,11015580,"1/3","for palladium-catalyzed cross couplings in organic synthesis","2010-10-06","1930-09-12",0
"882","2010","856","Peter A. Diamond","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11015580,"1/3","for their analysis of markets with search frictions","2010-10-11","1940-04-29",0
"883","2010","857","Dale T. Mortensen","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11015580,"1/3","for their analysis of markets with search frictions","2010-10-11","1939-02-02",0
"884","2010","858","Christopher A. Pissarides","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,11015580,"1/3","for their analysis of markets with search frictions","2010-10-11","1948-02-20",0
"885","2010","854","Mario Vargas Llosa","Literature","The Nobel Prize in Literature",10000000,11015580,"1","for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat","2010-10-07","1936-03-28",0
"886","2010","855","Liu Xiaobo","Peace","The Nobel Peace Prize",10000000,11015580,"1","for his long and non-violent struggle for fundamental human rights in China","2010-10-08","1955-12-28",0
"887","2010","849","Andre Geim","Physics","The Nobel Prize in Physics",10000000,11015580,"1/2","for groundbreaking experiments regarding the two-dimensional material graphene","2010-10-05","1958-10-21",0
"888","2010","850","Konstantin Novoselov","Physics","The Nobel Prize in Physics",10000000,11015580,"1/2","for groundbreaking experiments regarding the two-dimensional material graphene","2010-10-05","1974-08-23",0
"889","2010","848","Robert G. Edwards","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,11015580,"1","for the development of in vitro fertilization",NA,"1925-09-27",0
"890","2011","867","Dan Shechtman","Chemistry","The Nobel Prize in Chemistry",10000000,10736783,"1","for the discovery of quasicrystals","2011-10-05","1941-01-24",0
"891","2011","872","Thomas J. Sargent","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,10736783,"1/2","for their empirical research on cause and effect in the macroeconomy","2011-10-10","1943-07-19",0
"892","2011","873","Christopher A. Sims","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",10000000,10736783,"1/2","for their empirical research on cause and effect in the macroeconomy","2011-10-10","1942-10-21",0
"893","2011","868","Tomas Tranströmer","Literature","The Nobel Prize in Literature",10000000,10736783,"1","because, through his condensed, translucent images, he gives us fresh access to reality","2011-10-06","1931-04-15",0
"894","2011","869","Ellen Johnson Sirleaf","Peace","The Nobel Peace Prize",10000000,10736783,"1/3","for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work","2011-10-07","1938-10-29",0
"895","2011","870","Leymah Gbowee","Peace","The Nobel Peace Prize",10000000,10736783,"1/3","for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work","2011-10-07","1972-02-01",0
"896","2011","871","Tawakkol Karman","Peace","The Nobel Peace Prize",10000000,10736783,"1/3","for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work","2011-10-07","1979-02-07",0
"897","2011","864","Saul Perlmutter","Physics","The Nobel Prize in Physics",10000000,10736783,"1/2","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","2011-10-04","1959-00-00",0
"898","2011","865","Brian P. Schmidt","Physics","The Nobel Prize in Physics",10000000,10736783,"1/4","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","2011-10-04","1967-02-24",0
"899","2011","866","Adam G. Riess","Physics","The Nobel Prize in Physics",10000000,10736783,"1/4","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","2011-10-04","1969-12-16",0
"900","2011","861","Bruce A. Beutler","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,10736783,"1/4","for their discoveries concerning the activation of innate immunity",NA,"1957-12-29",0
"901","2011","862","Jules A. Hoffmann","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,10736783,"1/4","for their discoveries concerning the activation of innate immunity",NA,"1941-08-02",0
"902","2011","863","Ralph M. Steinman","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",10000000,10736783,"1/2","for his discovery of the dendritic cell and its role in adaptive immunity",NA,"1943-01-14",0
"903","2012","878","Robert J. Lefkowitz","Chemistry","The Nobel Prize in Chemistry",8000000,8512821,"1/2","for studies of G-protein-coupled receptors","2012-10-10","1943-04-15",0
"904","2012","879","Brian Kobilka","Chemistry","The Nobel Prize in Chemistry",8000000,8512821,"1/2","for studies of G-protein-coupled receptors","2012-10-10","1955-05-30",0
"905","2012","882","Alvin E. Roth","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",8000000,8512821,"1/2","for the theory of stable allocations and the practice of market design","2012-10-15","1951-12-18",0
"906","2012","883","Lloyd S. Shapley","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",8000000,8512821,"1/2","for the theory of stable allocations and the practice of market design","2012-10-15","1923-06-02",0
"907","2012","880","Mo Yan","Literature","The Nobel Prize in Literature",8000000,8512821,"1","who with hallucinatory realism merges folk tales, history and the contemporary","2012-10-11","1955-02-02",0
"908","2012","881",NA,"Peace","The Nobel Peace Prize",8000000,8512821,"1","for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe","2012-10-12",NA,0
"909","2012","876","Serge Haroche","Physics","The Nobel Prize in Physics",8000000,8512821,"1/2","for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems","2012-10-09","1944-09-11",0
"910","2012","877","David J. Wineland","Physics","The Nobel Prize in Physics",8000000,8512821,"1/2","for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems","2012-10-09","1944-02-24",0
"911","2012","874","Sir John B. Gurdon","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",8000000,8512821,"1/2","for the discovery that mature cells can be reprogrammed to become pluripotent",NA,"1933-10-02",0
"912","2012","875","Shinya Yamanaka","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",8000000,8512821,"1/2","for the discovery that mature cells can be reprogrammed to become pluripotent",NA,"1962-09-04",0
"913","2013","889","Martin Karplus","Chemistry","The Nobel Prize in Chemistry",8000000,8517568,"1/3","for the development of multiscale models for complex chemical systems","2013-10-09","1930-03-15",0
"914","2013","890","Michael Levitt","Chemistry","The Nobel Prize in Chemistry",8000000,8517568,"1/3","for the development of multiscale models for complex chemical systems","2013-10-09","1947-05-09",0
"915","2013","891","Arieh Warshel","Chemistry","The Nobel Prize in Chemistry",8000000,8517568,"1/3","for the development of multiscale models for complex chemical systems","2013-10-09","1940-11-20",0
"916","2013","894","Eugene F. Fama","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",8000000,8517568,"1/3","for their empirical analysis of asset prices","2013-10-14","1939-02-14",0
"917","2013","895","Lars Peter Hansen","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",8000000,8517568,"1/3","for their empirical analysis of asset prices","2013-10-14","1952-10-26",0
"918","2013","896","Robert J. Shiller","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",8000000,8517568,"1/3","for their empirical analysis of asset prices","2013-10-14","1946-03-29",0
"919","2013","892","Alice Munro","Literature","The Nobel Prize in Literature",8000000,8517568,"1","master of the contemporary short story","2013-10-10","1931-07-10",0
"920","2013","893",NA,"Peace","The Nobel Peace Prize",8000000,8517568,"1","for its extensive efforts to eliminate chemical weapons","2013-10-11",NA,0
"921","2013","887","François Englert","Physics","The Nobel Prize in Physics",8000000,8517568,"1/2","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider","2013-10-08","1932-11-06",0
"922","2013","888","Peter Higgs","Physics","The Nobel Prize in Physics",8000000,8517568,"1/2","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider","2013-10-08","1929-05-29",0
"923","2013","884","James E. Rothman","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",8000000,8517568,"1/3","for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",NA,"1950-11-03",0
"924","2013","885","Randy W. Schekman","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",8000000,8517568,"1/3","for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",NA,"1948-12-30",0
"925","2013","886","Thomas C. Südhof","Physiology or Medicine","The Nobel Prize in Physiology or Medicine",8000000,8517568,"1/3","for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",NA,"1955-12-22",0
"926","2014","909","Eric Betzig","Chemistry","The Nobel Prize in Chemistry",8000000,8531844,"1/3","for the development of super-resolved fluorescence microscopy","2014-10-08","1960-01-13",0
"927","2014","910","Stefan W. Hell","Chemistry","The Nobel Prize in Chemistry",8000000,8531844,"1/3","for the development of super-resolved fluorescence microscopy","2014-10-08","1962-12-23",0
"928","2014","911","William E. Moerner","Chemistry","The Nobel Prize in Chemistry",8000000,8531844,"1/3","for the development of super-resolved fluorescence microscopy","2014-10-08","1953-06-24",0
"929","2014","915","Jean Tirole","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel",8000000,8531844,"1","for his analysis of market power and regulation","2014-10-13","1953-08-09",0
"930","2014","912","Patrick Modiano","Literature","The Nobel Prize in Literature",8000000,8531844,"1","for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation","2014-10-09","1945-07-30",0
"931","2014","913","Kailash Satyarthi","Peace","The Nobel Peace Prize",8000000,8531844,"1/2","for their struggle against the suppression of children and young people and for the right of all children to education","2014-10-10","1954-01-11",0
